"NERR.Site.ID","Station.Code","Station.Name","Latitude","Longitude","Status","State","Reserve.Name","GMT.Offset"
"ace","acebbnut","Big Bay",32.4941,80.3241,"Active","sc","Ashepoo Combahee Edisto Basin",-5
"ace","acebbwq","Big Bay",32.4941,80.3241,"Active","sc","Ashepoo Combahee Edisto Basin",-5
"ace","acebpmet","Bennett's Point",32.55934,80.45456,"Active","sc","Ashepoo Combahee Edisto Basin",-5
"ace","acefcnut","Fishing Creek",32.6358,80.3655,"Active","sc","Ashepoo Combahee Edisto Basin",-5
"ace","acefcwq","Fishing Creek",32.6358,80.3655,"Active","sc","Ashepoo Combahee Edisto Basin",-5
"ace","acemcnut","Mosquito Creek",32.5558,80.438,"Active","sc","Ashepoo Combahee Edisto Basin",-5
"ace","acemcwq","Mosquito Creek",32.5558,80.438,"Active","sc","Ashepoo Combahee Edisto Basin",-5
"ace","acercwq","Rock Creek",32.5485,80.5036,"Inactive","sc","Ashepoo Combahee Edisto Basin",-5
"ace","acespnut","St. Pierre",32.5233,80.3568,"Active","sc","Ashepoo Combahee Edisto Basin",-5
"ace","acespwq","St. Pierre",32.5233,80.3568,"Active","sc","Ashepoo Combahee Edisto Basin",-5
"apa","apacpnut","Cat Point",29.7021,84.8802,"Active","fl","Apalachicola Bay",-5
"apa","apacpwq","Cat Point",29.7021,84.8802,"Active","fl","Apalachicola Bay",-5
"apa","apadbnut","Dry Bar",29.6747,85.0583,"Active","fl","Apalachicola Bay",-5
"apa","apadbwq","Dry Bar",29.6747,85.0583,"Active","fl","Apalachicola Bay",-5
"apa","apaebmet","East Bay",29.7909,84.8834,"Active","fl","Apalachicola Bay",-5
"apa","apaebnut","East Bay Bottom",29.7858,84.8752,"Active","fl","Apalachicola Bay",-5
"apa","apaebwq","East Bay Bottom",29.7858,84.8752,"Active","fl","Apalachicola Bay",-5
"apa","apaegnut","East Bay Bridge",29.7308,84.9452,"Active","fl","Apalachicola Bay",-5
"apa","apaesnut","East Bay Surface",29.7858,84.8752,"Active","fl","Apalachicola Bay",-5
"apa","apaeswq","East Bay Surface",29.7858,84.8752,"Active","fl","Apalachicola Bay",-5
"apa","apambnut","Mid Bay",29.6677,84.994,"Active","fl","Apalachicola Bay",-5
"apa","apanhnut","Nicks Hole",29.6504,84.9289,"Active","fl","Apalachicola Bay",-5
"apa","apapcnut","Pilots Cove",29.6079,85.0196,"Active","fl","Apalachicola Bay",-5
"apa","aparvnut","River",29.7791,85.0434,"Active","fl","Apalachicola Bay",-5
"apa","apascnut","Sikes Cut",29.6067,84.9467,"Active","fl","Apalachicola Bay",-5
"apa","apawpnut","West Pass",29.6379,85.089,"Active","fl","Apalachicola Bay",-5
"cbm","cbmipnut","Iron Pot Landing",38.796,76.7208,"Active","md","Chesapeake Bay",-5
"cbm","cbmipwq","Iron Pot Landing",38.796,76.7208,"Active","md","Chesapeake Bay",-5
"cbm","cbmjbmet","Jug Bay",38.7807,76.7081,"Active","md","Chesapeake Bay",-5
"cbm","cbmjbwq","Jug Bay",38.7792,76.7077,"Inactive","md","Chesapeake Bay",-5
"cbm","cbmmcnut","Mataponi Creek",38.7433,76.7074,"Active","md","Chesapeake Bay",-5
"cbm","cbmmcwq","Mataponi Creek",38.7433,76.7074,"Active","md","Chesapeake Bay",-5
"cbm","cbmocnut","Otter Point Creek",39.4507,76.2746,"Active","md","Chesapeake Bay",-5
"cbm","cbmocwq","Otter Point Creek",39.4507,76.2746,"Active","md","Chesapeake Bay",-5
"cbm","cbmprwq","Patuxent River",38.7732,76.7091,"Inactive","md","Chesapeake Bay",-5
"cbm","cbmrrnut","Railroad",38.7813,76.7137,"Active","md","Chesapeake Bay",-5
"cbm","cbmrrwq","Railroad",38.7813,76.7137,"Active","md","Chesapeake Bay",-5
"cbv","cbvcbnut","Claybank",37.34855,76.61123,"Active","va","Chesapeake Bay",-5
"cbv","cbvcbwq","Claybank",37.34667,76.61126,"Active","va","Chesapeake Bay",-5
"cbv","cbvcinut","Catlett Islands",37.3,76.55,"Active","va","Chesapeake Bay",-5
"cbv","cbvginut","Goodwin Islands",37.21739,76.3954,"Active","va","Chesapeake Bay",-5
"cbv","cbvgiwq","Goodwin Islands",37.2158,76.39267,"Active","va","Chesapeake Bay",-5
"cbv","cbvshnut","Sweethall",37.57138,76.88424,"Active","va","Chesapeake Bay",-5
"cbv","cbvshwq","Sweethall",37.57138,76.88424,"Active","va","Chesapeake Bay",-5
"cbv","cbvtcmet","Taskinas Creek",37.4141,76.71237,"Active","va","Chesapeake Bay",-5
"cbv","cbvtcnut","Taskinas Creek",37.41497,76.71441,"Active","va","Chesapeake Bay",-5
"cbv","cbvtcwq","Taskinas Creek",37.41499,76.71442,"Active","va","Chesapeake Bay",-5
"cbv","cbvybnut","York River Bridge",37.2449,76.5052,"Active","va","Chesapeake Bay",-5
"del","delbbnut","Beaver Branch",39.4024,75.628,"Active","de","Delaware",-5
"del","delblnut","Blackbird Landing",39.38876,75.636,"Active","de","Delaware",-5
"del","delblwq","Blackbird Landing",39.38876,75.636,"Active","de","Delaware",-5
"del","deldsnut","Division Street",39.1637,75.5191,"Active","de","Delaware",-5
"del","deldswq","Division Street",39.1637,75.5191,"Active","de","Delaware",-5
"del","delllnut","Lebanon Landing",39.1144,75.4992,"Active","de","Delaware",-5
"del","delllwq","Lebanon Landing",39.1144,75.4992,"Active","de","Delaware",-5
"del","delpbwq","Penrose Branch",39.1647,75.6504,"Inactive","de","Delaware",-5
"del","delsjmet","Saint Jones River",39.0889,75.4368,"Active","de","Delaware",-5
"del","delslnut","Scotton Landing",39.08498,75.46058,"Active","de","Delaware",-5
"del","delslwq","Scotton Landing",39.08498,75.46058,"Active","de","Delaware",-5
"del","deltbnut","Taylor's Bridge",39.4049,75.5996,"Active","de","Delaware",-5
"elk","elkapnut","Azevedo Pond",36.8457,121.7538,"Active","ca","Elkhorn Slough",-8
"elk","elkapwq","Azevedo Pond",36.8457,121.7538,"Active","ca","Elkhorn Slough",-8
"elk","elkcwmet","Caspian Weather Station",36.81806,121.73939,"Active","ca","Elkhorn Slough",-8
"elk","elknmnut","North Marsh",36.8346,121.7384,"Active","ca","Elkhorn Slough",-8
